reviewer_name,rating,review_text,date,review_source,extraction_timestamp,review_detected_lang,review_translated
Katrina Anna D. Chua,5/5,"It was one of the best 5-star experience for me. I enjoyed every bit of the room - all clean down to the last detail. Kudos to the staff of the hotel - cannot thank them enough for the wonderful service. The hotel might have cost a lot but every dollar is worth the price. You get your money's worth when you decide to try and stay at the Marina Bay Sands Hotel. The room is spacious and spotless. The furniture and necessities are modern. I can even praise the shower for having soft water bubbles. The breakfast buffet at the Rise was also enjoyable with lots of options that satisfy. The check in and check out process were seamless and pleasant. Thank you, Marina Bay Sands. My husband and I had the most amazing time.","a month ago on
Google",Google,2025-09-13 09:59:48,en,"It was one of the best 5-star experience for me. I enjoyed every bit of the room - all clean down to the last detail. Kudos to the staff of the hotel - cannot thank them enough for the wonderful service. The hotel might have cost a lot but every dollar is worth the price. You get your money's worth when you decide to try and stay at the Marina Bay Sands Hotel. The room is spacious and spotless. The furniture and necessities are modern. I can even praise the shower for having soft water bubbles. The breakfast buffet at the Rise was also enjoyable with lots of options that satisfy. The check in and check out process were seamless and pleasant. Thank you, Marina Bay Sands. My husband and I had the most amazing time."
Joanne Bodanio,5/5,"Me and my partner visited Marina Bay Sands during our trip to Singapore. Even though we were not checked in at the hotel, the outside view was already so amazing and beautiful. The architecture is iconic, and the atmosphere around the area is vibrant, especially at night when the lights and the skyline come alive. It’s truly one of the must-see landmarks in Singapore, and we really enjoyed just walking around and taking photos.","3 weeks ago on
Google",Google,2025-09-13 09:59:54,en,"Me and my partner visited Marina Bay Sands during our trip to Singapore. Even though we were not checked in at the hotel, the outside view was already so amazing and beautiful. The architecture is iconic, and the atmosphere around the area is vibrant, especially at night when the lights and the skyline come alive. It’s truly one of the must-see landmarks in Singapore, and we really enjoyed just walking around and taking photos."
Mayi Barov,5/5,"Marina Bay Sands is in a fantastic location, right in the heart of Singapore with easy access to shopping, restaurants, and attractions. The views from the hotel are incredible, especially from the famous infinity pool, which we enjoyed so much and also the friendly service for drinks and food!
The property offers a variety of dining options, high-end shops, a casino, and a connected mall that has everything you need.

Breakfast was excellent with a huge variety of choices, and I really enjoyed the afternoon tea as well. Our room was very spacious, very comfortable, and had everything we needed. The toiletries were high quality, and the room was kept very clean throughout our stay. The staff were very attentive at all times, concierge was so helpful. We felt welcome from start to finish.

It’s the kind of hotel where you can easily spend the whole day without leaving, but it’s also perfectly located for exploring the city. Overall, it was a wonderful stay!","a month ago on
Google",Google,2025-09-13 10:00:00,en,"Marina Bay Sands is in a fantastic location, right in the heart of Singapore with easy access to shopping, restaurants, and attractions. The views from the hotel are incredible, especially from the famous infinity pool, which we enjoyed so much and also the friendly service for drinks and food!
The property offers a variety of dining options, high-end shops, a casino, and a connected mall that has everything you need.

Breakfast was excellent with a huge variety of choices, and I really enjoyed the afternoon tea as well. Our room was very spacious, very comfortable, and had everything we needed. The toiletries were high quality, and the room was kept very clean throughout our stay. The staff were very attentive at all times, concierge was so helpful. We felt welcome from start to finish.

It’s the kind of hotel where you can easily spend the whole day without leaving, but it’s also perfectly located for exploring the city. Overall, it was a wonderful stay!"
Rio Clio,5/5,"The hotel was perfect for our one-night stay before our return flight to Europe. The service was excellent, from the luggage service to check-in and further assistance. The room was well-appointed with a great view over the bay. The infinity pool was a particular highlight, but unfortunately it was almost overcrowded in the evening. We would have liked to stay longer – maybe we'll come back again!","3 weeks ago on
Google",Google,2025-09-13 10:00:06,en,"The hotel was perfect for our one-night stay before our return flight to Europe. The service was excellent, from the luggage service to check-in and further assistance. The room was well-appointed with a great view over the bay. The infinity pool was a particular highlight, but unfortunately it was almost overcrowded in the evening. We would have liked to stay longer – maybe we'll come back again!"
F W,5/5,"This was an absolutely amazing hotel to stay at. We only stayed for one night - the last night of our trip but I wish we could have stayed longer. The staff were so friendly and kind from the moment we entered the hotel until we left.
A special mention to Hui Fei who checked us in and was very welcoming and kind.
The food was amazing as was the pool and all facilities. Nothing was too much trouble and I’m going to save to stay here for longer next time we visit Singapore.","2 weeks ago on
Google",Google,2025-09-13 10:00:12,en,"This was an absolutely amazing hotel to stay at. We only stayed for one night - the last night of our trip but I wish we could have stayed longer. The staff were so friendly and kind from the moment we entered the hotel until we left.
A special mention to Hui Fei who checked us in and was very welcoming and kind.
The food was amazing as was the pool and all facilities. Nothing was too much trouble and I’m going to save to stay here for longer next time we visit Singapore."
Sujay Sreekumar,5/5,"Amazing building and architecture. Looks really impressive from the outside as well as inside. The hotel is great, we went up for the rooftop view, below there is a huge mall, convention centre and lot of activities inside. It is surrounded by multiple tourist spots, cultural museum, promenade and what not! If you come to Singapore, this is a must visit place. Can spend 5-6 hours nearby easily. Recommended!","a month ago on
Google",Google,2025-09-13 10:00:19,en,"Amazing building and architecture. Looks really impressive from the outside as well as inside. The hotel is great, we went up for the rooftop view, below there is a huge mall, convention centre and lot of activities inside. It is surrounded by multiple tourist spots, cultural museum, promenade and what not! If you come to Singapore, this is a must visit place. Can spend 5-6 hours nearby easily. Recommended!"
Chef Kumar Chalise,5/5,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore with my partner. My third trip but partner was first time that y spent time walking around, enjoying the view, max walking and taking photos. Every moments of the …","2 weeks ago on
Google",Google,2025-09-13 10:00:25,en,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore with my partner. My third trip but partner was first time that y spent time walking around, enjoying the view, max walking and taking photos. Every moments of the …"
Waldemar KLIMCZAK,5/5,"The most important place in Singapore, a must-see for everyone. I especially enjoyed the nighttime experience. Everyone comes here to watch the light show. There were no crowds, so you could take photos and relax on the waterfront in peace. I highly recommend it. An unforgettable view.","a month ago on
Google",Google,2025-09-13 10:00:31,en,"The most important place in Singapore, a must-see for everyone. I especially enjoyed the nighttime experience. Everyone comes here to watch the light show. There were no crowds, so you could take photos and relax on the waterfront in peace. I highly recommend it. An unforgettable view."
Salva Mirza,5/5,"Our Marina Bay Sands stay has been nothing less than the extraordinary! I had chosen their hotel to celebrate my husband’s birthday and they have truly made it an unforgettable experience! We stayed at their Sands Premier Suite facing the city and it was breathtaking! Major credit to Vivian at the front desk who was extremely amicable, warm and welcoming! She has made sure our celebration was x10 times better! Thanks a ton, Vivian! 😊

Also would like to mention, Ms. Joan at the Express Service Team, was very meticulously paying attention to our requisites! Thank you! 😊

Thank you to Aye Sundar from the Housekeeping Team for keeping everything immaculate! 👍🏻😊

Would definitely visit again! 😊","3 weeks ago on
Google",Google,2025-09-13 10:00:31,en,"Our Marina Bay Sands stay has been nothing less than the extraordinary! I had chosen their hotel to celebrate my husband’s birthday and they have truly made it an unforgettable experience! We stayed at their Sands Premier Suite facing the city and it was breathtaking! Major credit to Vivian at the front desk who was extremely amicable, warm and welcoming! She has made sure our celebration was x10 times better! Thanks a ton, Vivian! 😊

Also would like to mention, Ms. Joan at the Express Service Team, was very meticulously paying attention to our requisites! Thank you! 😊

Thank you to Aye Sundar from the Housekeeping Team for keeping everything immaculate! 👍🏻😊

Would definitely visit again! 😊"
M CH,5/5,"We first stayed at Marina Bay Sands 13 years ago, and this time we returned for just one night. Check-in was smooth and efficient — we received a temporary room card that already gave us access to the pool, which was very convenient. We decided to do some shopping first, and when we returned to collect our official room cards, we were pleasantly surprised to learn that we had been given an upgrade. This gesture was truly appreciated.

As always, the pool and the food were excellent. You have the option to enjoy breakfast either by the pool or downstairs. If you're looking for a large buffet and don’t mind a lively atmosphere, the downstairs option is ideal. However, if you prefer a quieter, more refined experience with a set menu, the poolside breakfast is the better choice.

We thoroughly enjoyed our stay and would be happy to return again in the future.","a month ago on
Google",Google,2025-09-13 10:00:37,en,"We first stayed at Marina Bay Sands 13 years ago, and this time we returned for just one night. Check-in was smooth and efficient — we received a temporary room card that already gave us access to the pool, which was very convenient. We decided to do some shopping first, and when we returned to collect our official room cards, we were pleasantly surprised to learn that we had been given an upgrade. This gesture was truly appreciated.

As always, the pool and the food were excellent. You have the option to enjoy breakfast either by the pool or downstairs. If you're looking for a large buffet and don’t mind a lively atmosphere, the downstairs option is ideal. However, if you prefer a quieter, more refined experience with a set menu, the poolside breakfast is the better choice.

We thoroughly enjoyed our stay and would be happy to return again in the future."
