reviewer_name,review_date,review_title,review_text,review_score,date_of_stay,trip_type,reviewer_country,title_detected_lang,title_translated,review_detected_lang,review_translated
lindy3875,Today,"Heaven on Earth. Special people to mention are Chloe, Karen Sharmi and Thu Thu from Rise. Simon was especially helpful","We absolutely love Marina Bay Sands. Could not fault it. Our room was glorious with a wonderful view of the gardens. Service was outstanding especially from Simon. Our room was taken care of by a young man who went above and beyond to make sure we were comfortable
Rise Restaurant was our favourite for breakfast.",5 of 5 bubbles,August 2025,Traveled with family,"Bairnsdale, Australia",en,"Heaven on Earth. Special people to mention are Chloe, Karen Sharmi and Thu Thu from Rise. Simon was especially helpful",en,"We absolutely love Marina Bay Sands. Could not fault it. Our room was glorious with a wonderful view of the gardens. Service was outstanding especially from Simon. Our room was taken care of by a young man who went above and beyond to make sure we were comfortable
Rise Restaurant was our favourite for breakfast."
990MatthieuL,Jun 2025,⭐️ Luxury Defined: Marina Bay Sands is the Best Hotel Stay in Singapore,"If you’re looking for a 5-star luxury hotel in Singapore, Marina Bay Sands is in a league of its own. This iconic hotel offers not just accommodation — but a once-in-a-lifetime experience.

🛏️ Spacious Rooms with Breathtaking Views
My room was large, elegant, and spotless — offering an unforgettable panoramic view of Marina Bay. Whether you face the bay or Gardens by the Bay, every view is stunning (tip: request a higher floor for maximum impact).
In-room amenities were exceptional, including TWG teas specially blended for Marina Bay Sands. The bed was ultra-comfortable with blackout curtains and silent surroundings — perfect for deep sleep.

🍽️ Rooftop Breakfast & Infinity Pool
Breakfast at the world-famous rooftop infinity pool is a must. Fresh tropical fruits, pastries, hot dishes — all served with a skyline view that’s hard to beat. The rooftop pool, bar, and restaurant offer the best photo ops and moments of calm in a vibrant city.

🛎️ Exceptional Service & Concierge
Service was fast, discreet, and consistently top-tier. The concierge team organized a private tour of Singapore with precision and style — one of the best I’ve had. Staff across the hotel were warm, efficient, and welcoming.

📍 Prime Location in the Heart of Singapore
The hotel is in the best location in Singapore for tourists and shoppers:

Direct MRT (subway) access right beneath the hotel
Taxis readily available at all hours
Walking distance to top attractions: Merlion Park, Marina Barrage, Chinatown
Direct access to the Shoppes at Marina Bay Sands mall — packed with luxury retail and dining options
💡 Insider Tips for Your Stay
Ask for a high-floor room for better views
Wake up early to enjoy a peaceful rooftop breakfast
Take advantage of the concierge for curated experiences
Start your walking tour from the hotel to explore Singapore’s heritage sites and skyline icons
✅ Final Verdict

Marina Bay Sands isn’t just the best hotel in Singapore — it’s an icon. Whether for a romantic getaway, business trip, or urban adventure, it delivers luxury, convenience, and unforgettable views at every turn. I would absolutely stay again.",5 of 5 bubbles,January 2025,Traveled with family,"Paris, France",en,⭐️ Luxury Defined: Marina Bay Sands is the Best Hotel Stay in Singapore,en,"If you’re looking for a 5-star luxury hotel in Singapore, Marina Bay Sands is in a league of its own. This iconic hotel offers not just accommodation — but a once-in-a-lifetime experience.

🛏️ Spacious Rooms with Breathtaking Views
My room was large, elegant, and spotless — offering an unforgettable panoramic view of Marina Bay. Whether you face the bay or Gardens by the Bay, every view is stunning (tip: request a higher floor for maximum impact).
In-room amenities were exceptional, including TWG teas specially blended for Marina Bay Sands. The bed was ultra-comfortable with blackout curtains and silent surroundings — perfect for deep sleep.

🍽️ Rooftop Breakfast & Infinity Pool
Breakfast at the world-famous rooftop infinity pool is a must. Fresh tropical fruits, pastries, hot dishes — all served with a skyline view that’s hard to beat. The rooftop pool, bar, and restaurant offer the best photo ops and moments of calm in a vibrant city.

🛎️ Exceptional Service & Concierge
Service was fast, discreet, and consistently top-tier. The concierge team organized a private tour of Singapore with precision and style — one of the best I’ve had. Staff across the hotel were warm, efficient, and welcoming.

📍 Prime Location in the Heart of Singapore
The hotel is in the best location in Singapore for tourists and shoppers:

Direct MRT (subway) access right beneath the hotel
Taxis readily available at all hours
Walking distance to top attractions: Merlion Park, Marina Barrage, Chinatown
Direct access to the Shoppes at Marina Bay Sands mall — packed with luxury retail and dining options
💡 Insider Tips for Your Stay
Ask for a high-floor room for better views
Wake up early to enjoy a peaceful rooftop breakfast
Take advantage of the concierge for curated experiences
Start your walking tour from the hotel to explore Singapore’s heritage sites and skyline icons
✅ Final Verdict

Marina Bay Sands isn’t just the best hotel in Singapore — it’s an icon. Whether for a romantic getaway, business trip, or urban adventure, it delivers luxury, convenience, and unforgettable views at every turn. I would absolutely stay again."
Isaac Jebakumar,Yesterday,Awesome!!,"We visited this hotel right after the pandemic to celebrate my wife’s birthday. The hotel decorated our room with complementary balloons with birthday wishes and a cake to our surprise. We had an awesome time (3-nights) with great view (unlimited access to viewing from the top, terrace open pool etc.), excellent food and super friendly services! One of the best experiences of staying as a family as my 3-year old could visit many nearby places, e.g: Pororo park, Gardens by the bay etc.",5 of 5 bubbles,February 2025,Traveled with family,"Heidelberg, Germany",en,Awesome!!,en,"We visited this hotel right after the pandemic to celebrate my wife’s birthday. The hotel decorated our room with complementary balloons with birthday wishes and a cake to our surprise. We had an awesome time (3-nights) with great view (unlimited access to viewing from the top, terrace open pool etc.), excellent food and super friendly services! One of the best experiences of staying as a family as my 3-year old could visit many nearby places, e.g: Pororo park, Gardens by the bay etc."
Passenger48710090929,Yesterday,Massage,Excellent massage by Jane! Professional and courteous. Very relaxing. And check-in by Avril was smooth and she was very nice. All around would recommend!,5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,Massage,en,Excellent massage by Jane! Professional and courteous. Very relaxing. And check-in by Avril was smooth and she was very nice. All around would recommend!
Coastal57348687165,Yesterday,Excellent Balinese massage by Wailing!,Excellent Balinese massage by Wailing! My body was very stiff and tired before but after I felt very light and full of energy.,5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,Excellent Balinese massage by Wailing!,en,Excellent Balinese massage by Wailing! My body was very stiff and tired before but after I felt very light and full of energy.
Govind W,Yesterday,Highly recommended!,Avril and Charlene were very warm and welcoming at reception! Yaneli and Crystal were amazing massage therapists and we had a wonderful time!,5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,Highly recommended!,en,Avril and Charlene were very warm and welcoming at reception! Yaneli and Crystal were amazing massage therapists and we had a wonderful time!
ryan k,Yesterday,Decent hotel,"Nice iconic location that everyone knows but our timing was bad. Over crowded and hence long queues just to get checked in to our room. Breakfast was another long wait but overall nice place, good food, good selections",4 of 5 bubbles,February 2025,Traveled with friends,10 contributions,en,Decent hotel,en,"Nice iconic location that everyone knows but our timing was bad. Over crowded and hence long queues just to get checked in to our room. Breakfast was another long wait but overall nice place, good food, good selections"
Dung D,Yesterday,Fitness centre,I love the fitness centre got a lot of equipments and the staff are very nice. Chanok and roselyn are very friendly and nice they recommended alot of good foods that must try in singapore.,5 of 5 bubbles,September 2025,Traveled with friends,1 contribution,en,Fitness centre,en,I love the fitness centre got a lot of equipments and the staff are very nice. Chanok and roselyn are very friendly and nice they recommended alot of good foods that must try in singapore.
Yam,Sep 20,Fitness Centre,Alif and Oddie taught me how to use the machine. Uma provided me a cup a hot tea after workout. Not crowded I love it. Enjoy workout here.,4 of 5 bubbles,September 2025,Traveled with friends,2 contributions,en,Fitness Centre,en,Alif and Oddie taught me how to use the machine. Uma provided me a cup a hot tea after workout. Not crowded I love it. Enjoy workout here.
Juanita D,Sep 20,MAGICAL,"The kindness of the concierge of September 7 or 8, 2025 set our experience as par excellence. I did not get his name, but he pushed my daughter in her wheelchair around the grounds of the hotel for an hour or so. This put us at ease for the remainder of our four-day stay. Thank you.

The value is good because of the employees, the atmosphere, design, and style. Our room was elegant and large. The atmosphere tranquil, very clean, no noise.

The restaurants have a sophisticated feel, the food is delicious.

Finally, it was amazing how well the SkyPark Observation Deck was managed with the large number people every night.",5 of 5 bubbles,September 2025,Traveled with family,"Edmonton, Canada",en,MAGICAL,en,"The kindness of the concierge of September 7 or 8, 2025 set our experience as par excellence. I did not get his name, but he pushed my daughter in her wheelchair around the grounds of the hotel for an hour or so. This put us at ease for the remainder of our four-day stay. Thank you.

The value is good because of the employees, the atmosphere, design, and style. Our room was elegant and large. The atmosphere tranquil, very clean, no noise.

The restaurants have a sophisticated feel, the food is delicious.

Finally, it was amazing how well the SkyPark Observation Deck was managed with the large number people every night."
