serial_no,reviewer_name,room_type,period_of_stay,traveler_type,review_score_numerator,review_score_denominator,review_score_description,review_date,review_text,extraction_timestamp,review_detected_lang,review_translated
1,N‍a‍n‍c‍y‍a,Sands Premier Double Queen City View Room,Stayed in September 2025,Family,10.0,/10,Outstanding,"Posted September 2, 2025",,2025-09-08 22:36:08,no_text,
2,С‍т‍е‍п‍а‍н‍о‍в‍а‍Е‍в‍г‍е‍н‍и‍я,Sands Family Suite,Stayed in August 2025,Family,10.0,/10,Outstanding,"Posted September 2, 2025","💝 Unforgettable memories and impressions that will stay with us for the rest of our lives! 💝
🎶 Eunice Marasigan welcomed us and surrounded us with such care. You will be in our memory for a long time! 
Do I need to write that this hotel is a symbol of Singapore? Is it necessary to describe the delight of the view from the observation deck and from the pool? You need to see this with your own eyes, because the photo does not convey even half of the beauty that the eye sees.
💸 It is expensive. 💸
☺️ Marina Bay Sands is my dream come true. I hope I can come back again. 😇",2025-09-08 22:36:08,en,"💝 Unforgettable memories and impressions that will stay with us for the rest of our lives! 💝
🎶 Eunice Marasigan welcomed us and surrounded us with such care. You will be in our memory for a long time! 
Do I need to write that this hotel is a symbol of Singapore? Is it necessary to describe the delight of the view from the observation deck and from the pool? You need to see this with your own eyes, because the photo does not convey even half of the beauty that the eye sees.
💸 It is expensive. 💸
☺️ Marina Bay Sands is my dream come true. I hope I can come back again. 😇"
3,M‍i‍c‍h‍i‍e‍l‍ ‍A‍n‍ ‍K‍r‍y‍s‍t‍y‍n,Sands Premier King,Stayed in September 2025,Couple,10.0,/10,Outstanding,"Posted September 4, 2025",They upgraded us to City View! Had a wonderful time! We will definitely come back!,2025-09-08 22:36:09,en,They upgraded us to City View! Had a wonderful time! We will definitely come back!
4,S‍v‍e‍t‍l‍a‍n‍a,Sands Premier Double Queen Gardens By The Bay View,Stayed in August 2025,Family,10.0,/10,Outstanding,"Posted August 10, 2025","We stayed for three nights (4 days), it took a long time to choose a room. As a result, we rented a room with a view of the gardens, and we didn't regret it. I liked: we lived on the 32nd floor, the room had a balcony, the noise of the city was audible, but not annoying. The view from the balcony was relaxing, it's nice to sit and admire in the evening.  The room was spacious, as was the bathroom. The cosmetics were wonderful!!! Coffee, sweets and tea were delicious! It's unnecessary to write about the pool)), it's the icing on the cake. If you arrive early, you can go to the pool, it is very comfortable there.  We didn't have breakfast, after reading the reviews that it was easier to have a snack somewhere nearby. I can't say that there are a lot of ""eateries"" nearby. Perhaps I would have bought breakfast next time. The transport accessibility is excellent, you can enter the subway from the hotel. 
everything interesting is nearby. If there is an opportunity to stay there, you should do it))",2025-09-08 22:36:10,en,"We stayed for three nights (4 days), it took a long time to choose a room. As a result, we rented a room with a view of the gardens, and we didn't regret it. I liked: we lived on the 32nd floor, the room had a balcony, the noise of the city was audible, but not annoying. The view from the balcony was relaxing, it's nice to sit and admire in the evening.  The room was spacious, as was the bathroom. The cosmetics were wonderful!!! Coffee, sweets and tea were delicious! It's unnecessary to write about the pool)), it's the icing on the cake. If you arrive early, you can go to the pool, it is very comfortable there.  We didn't have breakfast, after reading the reviews that it was easier to have a snack somewhere nearby. I can't say that there are a lot of ""eateries"" nearby. Perhaps I would have bought breakfast next time. The transport accessibility is excellent, you can enter the subway from the hotel. 
everything interesting is nearby. If there is an opportunity to stay there, you should do it))"
5,H‍e‍l‍e‍n‍a,Sands Premier King,Stayed in July 2025,Business traveller,10.0,/10,Outstanding,"Posted July 13, 2025","Satisfying and best hotel,for sure I will come back again for my 3rd times,thank you for a good memories and surprise cake for my sister 🥰❤️",2025-09-08 22:36:12,en,"Satisfying and best hotel,for sure I will come back again for my 3rd times,thank you for a good memories and surprise cake for my sister 🥰❤️"
6,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King,Stayed in July 2025,Couple,10.0,/10,Outstanding,"Posted July 9, 2025",This was worth the expensive price tag. We went to the infinity pool many times and the service was so on point! They came to clean our room midday and left clothes for our glasses and pillow spray. Truly a 5 star experience.,2025-09-08 22:36:12,en,This was worth the expensive price tag. We went to the infinity pool many times and the service was so on point! They came to clean our room midday and left clothes for our glasses and pillow spray. Truly a 5 star experience.
7,G‍u‍e‍s‍t‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in June 2025,Family,10.0,/10,Outstanding,"Posted July 4, 2025","The cleaning lady gives snacks to the children, which is greatly appreciated, and the cleaning is also very thorough. Since we have a four-year-old child staying, we hope that next time a step stool for the child can be provided, as their height is not sufficient.",2025-09-08 22:36:12,en,"The cleaning lady gives snacks to the children, which is greatly appreciated, and the cleaning is also very thorough. Since we have a four-year-old child staying, we hope that next time a step stool for the child can be provided, as their height is not sufficient."
8,H‍a‍h‍a‍h‍a‍r‍m‍o‍n‍y,Sands Premier Suite King Gardens By The Bay View,Stayed in June 2025,Family,10.0,/10,Outstanding,"Posted June 30, 2025","Every member of the Marina Bay Sands team we encountered went above and beyond, turning what could have been just another hotel stay into an unforgettable experience filled with care, comfort, and heart.

A minor accident during our stay—when our daughter tripped over the carpet and had a nosebleed—was handled with exemplary care. The staff member from Express Service prioritized her safety and promptly coordinated housekeeping to assist us. The housekeeping lady who came to help was so humble and kind, even declining a tip for her hard work.

Special recognition also goes to Service Management Team, Ms. Ella Barrientos, who followed up with a compassionate call, offered a thoughtful gift to cheer up our daughter, and even took care of cleaning her top. The warmth and humanity she showed meant so much to us, and we would also like to thank the laundry team for their assistance in removing the blood stain so efficiently.

Our children’s first visit to Singapore has become a treasured memory thanks to the hotel’s exceptional hospitality.",2025-09-08 22:36:12,en,"Every member of the Marina Bay Sands team we encountered went above and beyond, turning what could have been just another hotel stay into an unforgettable experience filled with care, comfort, and heart.

A minor accident during our stay—when our daughter tripped over the carpet and had a nosebleed—was handled with exemplary care. The staff member from Express Service prioritized her safety and promptly coordinated housekeeping to assist us. The housekeeping lady who came to help was so humble and kind, even declining a tip for her hard work.

Special recognition also goes to Service Management Team, Ms. Ella Barrientos, who followed up with a compassionate call, offered a thoughtful gift to cheer up our daughter, and even took care of cleaning her top. The warmth and humanity she showed meant so much to us, and we would also like to thank the laundry team for their assistance in removing the blood stain so efficiently.

Our children’s first visit to Singapore has become a treasured memory thanks to the hotel’s exceptional hospitality."
9,椰‍子‍ ‍C‍o‍c‍o‍n‍u‍t,Sands Premier King,Stayed in June 2025,Booked for others,10.0,/10,Outstanding,"Posted June 30, 2025",Seamless check in and front desk staff is very friendly. Walking distance to Mall & MRT station. Location wise very centralised.,2025-09-08 22:36:13,en,Seamless check in and front desk staff is very friendly. Walking distance to Mall & MRT station. Location wise very centralised.
10,A‍n‍o‍n‍y‍m‍o‍u‍s‍ ‍U‍s‍e‍r,Sands Premier King Gardens By The Bay View,Stayed in May 2025,Family,9.0,/10,Great,"Posted May 27, 2025",good location and big shopping mall.  nice view and facilities. Will stay again for next trip to SG!,2025-09-08 22:36:13,en,good location and big shopping mall.  nice view and facilities. Will stay again for next trip to SG!
